,Company,Type,Ram,Weight,Price,Touchscreen,Ips,ppi,Cpu brand,HDD,SSD,Gpu brand,os
0,Apple,Ultrabook,8,1.37,71378.6832,0,0,226.98300468106115,Intel Core i5,0,128,Intel,Mac
1,Apple,Ultrabook,8,1.34,47895.5232,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
2,HP,Notebook,8,1.86,30636.0,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Others/No OS/Linux
3,Apple,Ultrabook,16,1.83,135195.336,0,0,220.53462386625827,Intel Core i7,0,512,AMD,Mac
4,Apple,Ultrabook,8,1.37,96095.808,0,0,226.98300468106115,Intel Core i5,0,256,Intel,Mac
5,Acer,Notebook,4,2.1,21312.0,0,0,100.45466986113651,AMD Processor,500,0,AMD,Windows
6,Apple,Ultrabook,16,2.04,114017.6016,0,0,220.53462386625827,Intel Core i7,0,0,Intel,Mac
7,Apple,Ultrabook,8,1.34,61735.536,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
8,Asus,Ultrabook,16,1.3,79653.6,0,0,157.3505121487356,Intel Core i7,0,512,Nvidia,Windows
9,Acer,Ultrabook,8,1.6,41025.6,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
10,HP,Notebook,4,1.86,20986.992,0,0,100.45466986113651,Intel Core i5,500,0,Intel,Others/No OS/Linux
11,HP,Notebook,4,1.86,18381.0672,0,0,141.21199808219862,Intel Core i3,500,0,Intel,Others/No OS/Linux
12,Apple,Ultrabook,16,1.83,130001.6016,0,0,220.53462386625827,Intel Core i7,0,256,AMD,Mac
13,Dell,Notebook,4,2.2,26581.392,0,0,141.21199808219862,Intel Core i3,0,256,AMD,Windows
14,Apple,Ultrabook,8,0.92,67260.672,0,0,226.41554716935852,Other Intel Processor,0,256,Intel,Mac
15,Apple,Ultrabook,8,1.37,80908.344,0,0,226.98300468106115,Intel Core i5,0,256,Intel,Mac
16,Dell,Notebook,8,2.2,39693.6,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows
17,Apple,Ultrabook,16,1.83,152274.24,0,0,220.53462386625827,Intel Core i7,0,512,AMD,Mac
18,Lenovo,Notebook,8,2.2,26586.72,0,0,141.21199808219862,Intel Core i3,1000,0,Nvidia,Others/No OS/Linux
19,Dell,Ultrabook,8,1.22,52161.12,1,0,165.6321180513006,Intel Core i5,0,128,Intel,Windows
20,Asus,Netbook,2,0.98,10224.432,0,0,135.0942111925629,Other Intel Processor,0,0,Intel,Windows
21,Lenovo,Gaming,8,2.5,53226.72,0,0,141.21199808219862,Intel Core i5,1000,128,Nvidia,Windows
22,HP,Notebook,4,1.86,13746.24,0,0,100.45466986113651,AMD Processor,500,0,AMD,Others/No OS/Linux
23,Dell,2 in 1 Convertible,8,1.62,43636.32,1,0,165.6321180513006,Intel Core i5,0,256,Intel,Windows
24,HP,Ultrabook,8,1.91,35111.52,0,0,141.21199808219862,Intel Core i7,0,256,Intel,Windows
25,Dell,Notebook,4,2.3,22305.1392,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Windows
26,Apple,Ultrabook,8,1.35,58554.72,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
27,Dell,Notebook,8,2.2,42624.0,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Windows
28,Dell,Ultrabook,8,1.88,69157.44,0,0,141.21199808219862,Intel Core i7,0,512,Intel,Windows
29,HP,Notebook,8,2.5,47738.88,0,0,127.33567457123111,Intel Core i5,1000,0,Nvidia,Windows
30,Chuwi,Notebook,4,1.89,13053.0672,0,0,141.21199808219862,Other Intel Processor,0,0,Intel,Windows
31,Asus,Notebook,2,1.65,10602.72,0,0,111.93520355955211,AMD Processor,0,0,AMD,Windows
32,HP,Notebook,4,2.71,23389.92,0,0,127.33567457123111,AMD Processor,500,0,AMD,Windows
33,Dell,Ultrabook,16,1.2,99580.32,1,0,276.053530085501,Intel Core i7,0,512,Intel,Windows
34,Apple,Ultrabook,8,1.35,53173.44,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
